DEBUG [2018-10-15 00:26:33] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 1480 12540 
 	 [ServerAdmin : tgbzquery]Training complete in 1.111029 real seconds 

DEBUG [2018-10-15 00:29:12] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 13716 
 	 [ServerAdmin : userquery]Training complete in 1.083139 real seconds 

DEBUG [2018-10-15 00:31:45] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 16136 
 	 [ServerAdmin : userquery]Training complete in 1.055178 real seconds 

DEBUG [2018-10-15 00:31:49] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 328 
 	 [ServerAdmin : userquery]Training complete in 1.037256 real seconds 

DEBUG [2018-10-15 00:32:40] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 7296 
 	 [ServerAdmin : userquery]Training complete in 1.041215 real seconds 

DEBUG [2018-10-15 00:33:07] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 1372 
 	 [ServerAdmin : userquery]Training complete in 1.056174 real seconds 

DEBUG [2018-10-15 00:33:34] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 14256 
 	 [ServerAdmin : userquery]Training complete in 1.052222 real seconds 

DEBUG [2018-10-15 00:33:53] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 6160 
 	 [ServerAdmin : userquery]Training complete in 1.080149 real seconds 

DEBUG [2018-10-15 00:33:58] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 11208 
 	 [ServerAdmin : userquery]Training complete in 1.039235 real seconds 

DEBUG [2018-10-15 00:34:47] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 3500 
 	 [ServerAdmin : userquery]Training complete in 1.100058 real seconds 

DEBUG [2018-10-15 00:35:01] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 5156 
 	 [ServerAdmin : tgbzquery]Training complete in 1.027220 real seconds 

DEBUG [2018-10-15 00:35:03] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 5684 
 	 [ServerAdmin : userquery]Training complete in 1.127032 real seconds 

DEBUG [2018-10-15 00:35:26] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 11072 14064 
 	 [ServerAdmin : userquery]Training complete in 1.073133 real seconds 

DEBUG [2018-10-15 00:38:08] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 16188 3168 
 	 [ServerAdmin : userquery]Training complete in 1.121002 real seconds 

DEBUG [2018-10-15 00:45:57] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15092 13868 
 	 [ServerAdmin : userquery]Training complete in 1.139952 real seconds 

DEBUG [2018-10-15 00:46:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 15092 15736 
 	 [ServerAdmin : userquery]Training complete in 1.078116 real seconds 

DEBUG [2018-10-15 00:47:21] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 16356 12728 
